Skew,Kurtosis,b,c,d,_RHS_
0.2,0.2,0.981409,0.032219,0.005817,4.05E-21
0.2,0.3,0.970339,0.031532,0.009466,8.86E-21
0.2,0.4,0.959859,0.030904,0.012895,1.97E-20
0.2,0.5,0.949897,0.030327,0.016134,5.48E-20
0.2,0.6,0.940398,0.029793,0.019202,2.47E-22
0.2,0.7,0.931313,0.029299,0.02212,1.84E-12
0.2,0.8,0.922599,0.028838,0.024902,1.04E-20
0.2,0.9,0.914222,0.028406,0.027562,2.21E-21
0.2,1,0.906154,0.028002,0.030112,4.74E-22
0.2,1.1,0.898366,0.027621,0.032561,1.05E-22
0.2,1.2,0.890836,0.027262,0.034918,2.56E-23
0.2,1.3,0.883544,0.026922,0.03719,3.69E-18
0.2,1.4,0.876472,0.026599,0.039384,4.82E-19
0.2,1.5,0.869605,0.026293,0.041506,5.64E-20
0.2,1.6,0.862928,0.026001,0.043561,5.91E-21
0.2,1.7,-1.52639,0.06205,0.241844,2.22E-15
